CONDITION,OUTCOME,YEAR,Geography,RegionName,Total_Cases,Total_Rate,Age_Adjusted_Rate,Male_Cases,Male_Rate,Female_Cases,Female_Rate,White_Cases,White_Rate,Black_Cases,Black_Rate,Hispanic_Cases,Hispanic_Rate,Asian_Pacific_Islander_Cases,Asian_Pacific_Islander_Rate,Other_Race_Ethnicity_Cases,Other_Race_Ethnicity_Rate,Age_Group_0_to_14_Cases,Age_Group_0_to_14_Rate,Age_Group_15_to_24_Cases,Age_Group_15_to_24_Rate,Age_Group_25_to_44_Cases,Age_Group_25_to_44_Rate,Age_Group_45_to_64_Cases,Age_Group_45_to_64_Rate,Age_Group_65Plus_Cases,Age_Group_65Plus_Rate
Flu,ED Discharge,2010,San Diego County (Actual Rate),COUNTY,1108,35.79605681,35.78876174,493,31.73113623,615,39.89273719,333,22.19930442,127,86.63028649,519,52.35295779,63,18.44467476,44,38.01098863,385,64.57911193,229,46.18378727,329,36.90471517,135,17.75404727,30,8.536672121
Flu,ED Discharge,2010,Central Region,REGION CENTRAL,237,48.92468901,47.24180263,107,43.19828822,130,54.91650579,48,33.41687552,60,105.8611807,109,53.33646502,9,14.08913728,8,50.44772355,70,77.92843943,48,57.73533162,75,46.45199651,36,33.73439784,8,18.48386128
Flu,ED Discharge,2010,Central San Diego,CENTRAL,65,39.25808264,43.10340935,40,44.18912947,25,33.31068207,21,25.51919408,15,130.6392615,23,39.91531012,,,,,16,82.64889715,12,52.19660722,23,32.98342225,12,31.62221988,,
Flu,ED Discharge,2010,Mid-City,CENTRAL,64,39.25368923,36.85582194,25,30.78552342,39,47.65687053,12,25.83423036,16,82.82430893,29,42.3574089,,,,,17,50.28395646,10,30.04807692,28,55.55114673,7,21.36295663,,
Flu,ED Discharge,2010,Southeastern San Diego,CENTRAL,108,69.317416,65.64796452,42,55.28643639,66,82.66843694,15,100.6778978,29,112.0643017,57,72.81925494,,,,,37,100.9301945,26,96.7693911,24,58.081847,17,47.22091053,,
Flu,ED Discharge,2010,East Region,REGION EAST,164,35.41290584,35.88435888,67,29.37965086,97,41.26623529,80,28.64713887,22,82.77522763,47,40.65603266,9,43.53293992,,,41,45.56011157,44,64.21014228,47,38.77983778,27,21.18560948,5,8.936550492
Flu,ED Discharge,2010,Alpine,EAST,6,39.90688394,48.82721417,,,,,5,42.333418,,,,,,,,,,,,,,,,,,
Flu,ED Discharge,2010,El Cajon,EAST,34,27.303535,26.79724299,16,26.26136625,18,28.30188679,18,24.4366006,,,11,33.18450585,,,,,10,39.2341494,8,40.69175992,8,24.23361202,7,22.08271554,,
Flu,ED Discharge,2010,Harbison Crest/El Cajon,EAST,60,43.11243003,42.55013462,25,36.63755203,35,49.34094594,30,35.17287468,8,112.312228,17,48.23242354,,,,,16,57.63896394,15,69.68641115,13,36.2692855,15,40.61188575,,
Flu,ED Discharge,2010,Jamul,EAST,11,58.02299821,60.16719711,7,64.22607579,,,,,,,7,120.9816799,,,,,,,5,157.5299307,,,,,,
