Geography,Population below 100% federal poverty level (FPL),Families below poverty level,Families with children under 18 years below poverty level
Central Region,22.9,18.4,27.8
Central San Diego,20.9,15.4,26.8
Mid-City,26.1,20.1,29.1
Southeastern San Diego,21.6,19,27.3
East Region,14.4,11,16.6
Alpine,8.7,5.7,9.2
El Cajon,21.8,18.1,26.1
Harbison Crest,10.3,5.9,8.3
Jamul,7.8,6.1,7.3
La Mesa,12,8.6,13.2
Laguna-Pine Valley,13.7,8.4,21.8
Lakeside,11.1,7.9,12.6
Lemon Grove,15.2,11,17
Mountain Empire,21.2,17.2,21.2
Santee,8,6.2,9.5
Spring Valley,13.2,10.3,14.7
North Central Region,10.9,5.9,8.7
Coastal ,11.5,4.6,5
Del Mar-Mira Mesa,6.3,4.7,6.3
Elliot-Navajo,6.7,3.7,6.2
Kearny Mesa,13.8,9.3,14.4
Miramar,6.3,6.3,7.7
Peninsula,10.2,5.9,11.1
University,22.9,5.9,7.9
North Coastal Region,12.6,9.5,12.3
Carlsbad,10.4,8,11.4
Oceanside,14.7,11.4,14.9
Pendleton,9.6,9.8,9.2
San Dieguito,8.3,6.3,7.5
Vista,16.7,11.8,15.3
North Inland Region,12,8.9,11
Anza-Borrego Springs,19.6,18.5,24.2
Escondido,17.6,13.3,17.6
Fallbrook,16.2,12.3,19.4
North San Diego,4.9,3.3,4.2
Palomar-Julian,16.2,9.7,17.3
Pauma,16.1,10.1,15.6
Poway ,5.1,3.5,4.9
Ramona,8,5.2,4.1
San Marcos,15.7,12.7,13.4
Valley Center,12.4,10.5,10.4
South Region,15.5,13.1,18.4
Chula Vista,19,17.3,25.1
Coronado,6,3.9,6.8
National City ,24.5,22.3,29.5
South Bay,18.5,16.3,22.3
Sweetwater,7.5,5.5,8
