region,#_0-35000,%_0-35000,#_35000-50000,%_35000-50000,#_50000-75000,%_50000-75000,#_75000-100000,%_75000-100000,#_100000-150000,%_100000-150000,#_150000_and_up,%_150000_and_up
Central San Diego,25669,0.336,9693,0.127,13410,0.176,9012,0.118,9593,0.126,8982,0.118
Mid-City,24174,0.424,8591,0.151,9784,0.172,5802,0.102,5357,0.094,3303,0.058
Southeastern San Diego,14644,0.341,6615,0.154,8302,0.193,5637,0.131,5602,0.130,2207,0.051
Alpine,1242,0.219,662,0.117,784,0.138,674,0.119,1316,0.232,989,0.175
El Cajon,15761,0.377,5638,0.135,7397,0.177,4802,0.115,4690,0.112,3535,0.085
Harbison Crest,1068,0.196,811,0.149,1006,0.185,803,0.148,991,0.182,765,0.141
Jamul,615,0.128,406,0.085,582,0.121,654,0.136,1088,0.227,1447,0.302
La Mesa,7075,0.286,3778,0.153,4682,0.189,3493,0.141,3424,0.139,2263,0.092
Laguna-Pine Valley,452,0.234,253,0.131,243,0.126,220,0.114,410,0.213,350,0.182
Lakeside,4769,0.245,2345,0.120,3730,0.191,3073,0.158,3349,0.172,2225,0.114
Lemon Grove,2884,0.296,1432,0.147,2162,0.222,1456,0.149,1239,0.127,573,0.059
Mountain Empire,945,0.415,276,0.121,464,0.204,174,0.076,206,0.090,212,0.093
Santee,3695,0.202,1987,0.109,3409,0.187,3010,0.165,3919,0.214,2255,0.123
Spring Valley,6745,0.243,3840,0.138,5372,0.193,4006,0.144,4755,0.171,3086,0.111
Coastal,7617,0.217,3288,0.094,5805,0.166,4682,0.134,5356,0.153,8297,0.237
Del Mar-Mira Mesa,6784,0.122,3794,0.068,6994,0.126,7317,0.132,12785,0.231,17751,0.320
Elliot-Navajo,7034,0.200,3619,0.103,6236,0.178,5214,0.148,6283,0.179,6745,0.192
Kearny Mesa,16062,0.260,7635,0.123,11434,0.185,8018,0.130,11097,0.179,7631,0.123
Miramar,170,0.320,64,0.120,165,0.310,71,0.133,46,0.086,16,0.030
Peninsula,5908,0.236,2917,0.116,4635,0.185,3402,0.136,4051,0.162,4145,0.165
University,6552,0.268,2647,0.108,3638,0.149,3164,0.130,4403,0.180,4016,0.164
Carlsbad,9918,0.211,4221,0.090,6815,0.145,6224,0.132,9205,0.196,10642,0.226
Oceanside,16384,0.291,7712,0.137,10622,0.188,7770,0.138,7951,0.141,5912,0.105
Pendleton,2311,0.347,2017,0.303,1525,0.229,342,0.051,374,0.056,92,0.014
San Dieguito,7491,0.202,2665,0.072,4720,0.127,4065,0.110,6514,0.176,11580,0.313
Vista,10976,0.339,4319,0.133,6192,0.191,4129,0.128,4112,0.127,2629,0.081
Anza-Borrego Springs,903,0.555,257,0.158,284,0.175,110,0.068,56,0.034,17,0.010
Escondido,17367,0.335,6949,0.134,9463,0.182,5803,0.112,6536,0.126,5790,0.112
Fallbrook,4985,0.289,2240,0.130,3174,0.184,2268,0.131,2383,0.138,2201,0.128
North San Diego,5521,0.137,3369,0.083,6048,0.150,5279,0.131,8503,0.210,11704,0.290
Palomar-Julian,813,0.357,414,0.182,370,0.162,322,0.141,249,0.109,112,0.049
Pauma,440,0.204,378,0.176,276,0.128,382,0.177,323,0.150,354,0.164
Poway,4463,0.148,2534,0.084,3358,0.112,3906,0.130,6552,0.218,9279,0.308
Ramona,2231,0.195,1279,0.112,2131,0.186,1585,0.138,2505,0.219,1725,0.151
San Marcos,9895,0.311,4263,0.134,5360,0.169,4231,0.133,4658,0.146,3389,0.107
Valley Center,2129,0.272,576,0.074,1090,0.139,912,0.116,1638,0.209,1484,0.190
Chula Vista,15163,0.406,6332,0.170,6497,0.174,4333,0.116,3504,0.094,1497,0.040
Coronado,1607,0.189,836,0.098,1216,0.143,996,0.117,1609,0.189,2236,0.263
National City,6730,0.442,2397,0.158,2908,0.191,1302,0.086,1292,0.085,581,0.038
South Bay,12883,0.336,6094,0.159,7372,0.192,5328,0.139,4634,0.121,2002,0.052
Sweetwater,6719,0.157,3340,0.078,7037,0.165,7460,0.175,10982,0.257,7198,0.168
