INSTNM,NPT4_PUB,NPT4_PRIV,MD_EARN_WNE_P10,MD_EARN_WNE_P8,MD_EARN_WNE_P6
Inver Hills Community College,11946,NULL,38200,35900,32500
Itasca Community College,10304,NULL,29400,31800,27300
The Art Institutes International-Minnesota,NULL,24691,33600,31200,26200
Luther Seminary,NULL,NULL,PrivacySuppressed,51100,42400
Macalester College,NULL,25954,46500,37000,28400
South Central College,11757,NULL,33400,32000,29600
Minnesota State University-Mankato,13898,NULL,42300,38500,34600
Regency Beauty Institute-Blaine,NULL,18064,21500,20700,18600
Mayo Medical School,NULL,NULL,59700,PrivacySuppressed,PrivacySuppressed
Mayo School of Health Sciences,NULL,NULL,59700,PrivacySuppressed,PrivacySuppressed
Argosy University-Twin Cities,NULL,19843,37000,37200,32500
Mesabi Range College,7986,NULL,27000,27100,26900
Metropolitan State University,14270,NULL,44800,42600,38700
University of Minnesota-Twin Cities,16954,NULL,48300,44000,38900
University of Minnesota-Crookston,13216,NULL,39100,38700,33500
Minneapolis Business College,NULL,15824,35700,31000,28000
Minneapolis College of Art and Design,NULL,25649,33900,30300,24400
Minneapolis Community and Technical College,14188,NULL,31400,29000,26700
Herzing University-Minneapolis,NULL,19223,42300,34100,28600
Minnesota School of Cosmetology-Woodbury Campus,NULL,14557,PrivacySuppressed,PrivacySuppressed,20300
Crossroads College,NULL,17268,30400,27100,PrivacySuppressed
University of Minnesota-Duluth,17315,NULL,44000,39200,35000
University of Minnesota-Morris,14326,NULL,38900,34000,30000
Minnesota School of Business-Richfield,NULL,19194,32400,30600,27900
Model College of Hair Design,NULL,11643,19300,23400,18600
Minnesota State University Moorhead,15183,NULL,36500,35100,31700
North Hennepin Community College,16328,NULL,37200,35100,32200
National American University-Roseville,NULL,NULL,36100,31100,27100
Sanford-Brown College-Mendota Heights,NULL,18077,31700,29300,24900
Normandale Community College,14146,NULL,37200,34100,31200
North Central University,NULL,19729,31800,29000,26800
Northland Community and Technical College,11774,NULL,35700,34700,30300
University of Northwestern-St Paul,NULL,23508,35000,32500,31000
Northwestern Health Sciences University,NULL,19592,43400,36900,30400
Oak Hills Christian College,NULL,16004,23600,20700,19600
Regency Beauty Institute-Burnsville,NULL,18903,21500,20700,18600
Pine Technical & Community College,13125,NULL,26800,27900,26600
Rainy River Community College,9552,NULL,28200,23800,19600
Rochester Community and Technical College,15894,NULL,34700,33500,30000
College of Saint Benedict,NULL,23679,47200,45100,37800
St Cloud Technical and Community College,9443,NULL,35900,33700,32300
Regency Beauty Institute-St Cloud,NULL,20253,21500,20700,18600
Saint Cloud State University,14183,NULL,41600,38600,34600
Saint Johns University,NULL,22450,56100,50000,42800
Saint Mary's University of Minnesota,NULL,19816,41600,40500,33000
St Olaf College,NULL,24983,45000,40800,35400
Crown College,NULL,21586,31000,31700,27600
The College of Saint Scholastica,NULL,20215,50000,45400,42600
University of St Thomas,NULL,29465,56200,46800,42000
Empire Beauty School-Bloomington,NULL,12236,23700,25300,23400
St Catherine University,NULL,21678,45000,43600,39500
Rasmussen College-Minnesota,NULL,16983,30900,29000,27300
Saint Paul College,13649,NULL,31200,28300,26300
Southwest Minnesota State University,14387,NULL,36200,33400,30000
Summit Academy Opportunities Industrialization Center,NULL,7723,14200,13100,13100
United Theological Seminary of the Twin Cities,NULL,NULL,NULL,NULL,NULL
Vermilion Community College,12072,NULL,31800,31900,26800
Dunwoody College of Technology,NULL,27124,46600,45200,39200
Ridgewater College,10402,NULL,33200,29700,28500
Minnesota State College-Southeast Technical,15089,NULL,31400,31900,29200
Winona State University,17620,NULL,42200,39100,34500
William Mitchell College of Law,NULL,NULL,75500,67800,56300
Century College,9504,NULL,35100,33200,29900
Alcorn State University,15112,NULL,30400,26200,23800
Belhaven University,NULL,18650,36800,33500,31700
Blue Mountain College,NULL,9284,29200,28200,27200
Chris Beauty College,NULL,13606,15300,15400,16300
Coahoma Community College,2444,NULL,21100,17300,15900
Antonelli College-Jackson,NULL,21826,21100,18500,17000
Copiah-Lincoln Community College,2836,NULL,25100,23600,22200
Creations College of Cosmetology,NULL,15012,17900,17200,12800
Delta Beauty College,NULL,5381,13700,16600,12200
Delta State University,15335,NULL,34100,30500,27500
East Central Community College,5208,NULL,27300,24900,22000
East Mississippi Community College,3662,NULL,25000,21700,21000
Fosters Cosmetology College,NULL,14285,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Academy of Hair Design-Grenada,NULL,5907,14800,14200,15000
Hinds Community College,3524,NULL,25400,23600,20800
Holmes Community College,5357,NULL,27400,25200,22300
Itawamba Community College,5707,NULL,27000,24400,22500
Jackson State University,15432,NULL,29200,25600,23500
Jones County Junior College,5408,NULL,26800,24200,21700
Meridian Community College,6723,NULL,25100,22300,20200
Millsaps College,NULL,21360,45600,39000,34300
Mississippi Delta Community College,3061,NULL,23400,19400,18400
University of Mississippi,14358,NULL,40500,37300,33600
Mississippi University for Women,9810,NULL,33600,30100,28400
Mississippi Valley State University,6547,NULL,22600,21400,19700
Mississippi College,NULL,16167,37600,34400,31900
Mississippi College of Beauty Culture,NULL,8234,PrivacySuppressed,11700,11800
Mississippi Gulf Coast Community College,8327,NULL,27200,25000,22200
Mississippi State University,15902,NULL,40100,35300,30900
Northeast Mississippi Community College,5887,NULL,28300,26000,22800
Northwest Mississippi Community College,6244,NULL,26800,24800,23400
Pearl River Community College,1563,NULL,26500,24600,22600
Rust College,NULL,9763,22700,20800,15700
Southeastern Baptist College,NULL,5644,21400,PrivacySuppressed,PrivacySuppressed
Southwest Mississippi Community College,4423,NULL,25700,21700,21700
University of Southern Mississippi,12549,NULL,35900,32100,28800
Magnolia College of Cosmetology,NULL,13221,18000,16800,15700
Tougaloo College,NULL,13067,26800,24200,21700
Wesley Biblical Seminary,NULL,NULL,NULL,NULL,NULL
William Carey University,NULL,16740,34700,30600,28900
Aquinas Institute of Theology,NULL,NULL,NULL,NULL,NULL
Assemblies of God Theological Seminary,NULL,NULL,PrivacySuppressed,PrivacySuppressed,30700
Avila University,NULL,19610,41100,37400,33100
ITT Technical Institute-Earth City,NULL,23478,38800,33900,29300
Baptist Bible College,NULL,12799,29100,26700,22300
House of Heavilin Beauty College-Blue Springs,NULL,13978,11600,17100,18300
Cox College,NULL,16546,41400,39300,37900
Calvary Bible College and Theological Seminary,NULL,12049,29100,31900,27400
Cape Girardeau Career and Technology Center,16103,NULL,29600,34400,30400
Central Christian College of the Bible,NULL,11559,28400,24400,19400
Central Methodist University-College of Liberal Arts and Sciences,NULL,17485,33700,30800,29600
University of Central Missouri,14725,NULL,36600,33100,30100
Grand River Technical School,3816,NULL,34600,29300,26700
Chillicothe Beauty Academy Inc,NULL,5837,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Cleveland University-Kansas City,NULL,NULL,36400,38100,26400
Columbia Area Career Center,15766,NULL,31000,29100,27700
Columbia College,NULL,11831,36700,34700,32400
Conception Seminary College,NULL,28916,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Concordia Seminary,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Cottey College,NULL,16910,31100,27000,23200
Covenant Theological Seminary,NULL,NULL,NULL,NULL,NULL
Crowder College,5514,NULL,25100,24500,21800
Culver-Stockton College,NULL,17989,35800,32800,28100
Drury University,NULL,21824,31700,28500,27000
East Central College,6880,NULL,27100,25300,22500
Eden Theological Seminary,NULL,NULL,NULL,NULL,NULL
Elaine Steven Beauty College,NULL,14355,15000,17900,13500
Pinnacle Career Institute-South Kansas City,NULL,21127,30900,19700,19100
Evangel University,NULL,21336,34700,32300,27400
Fontbonne University,NULL,16717,39400,36300,34000
Forest Institute of Professional Psychology,NULL,NULL,NULL,NULL,NULL
Four Rivers Career Center,17364,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Ozarks Technical Community College,7096,NULL,27800,26000,23400
Hannibal-LaGrange University,NULL,16509,33400,30500,27500
Harris-Stowe State University,9064,NULL,28200,23600,20000
Hickey College,NULL,17023,29000,29000,26900
House of Heavilin Beauty College-Kansas City,NULL,16744,15000,13400,12300
Independence College of Cosmetology,NULL,13055,18900,17800,17700
Jefferson College,6363,NULL,30000,28600,23400
Paul Mitchell the School-Missouri Columbia,NULL,9795,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Barnes-Jewish College Goldfarb School of Nursing,NULL,NULL,53300,50000,49900
Kansas City Art Institute,NULL,27967,28600,24000,20900
Kenrick Glennon Seminary,NULL,26350,NULL,NULL,NULL
A T Still University of Health Sciences,NULL,NULL,219800,146500,PrivacySuppressed
Lake Career and Technical Center,2402,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Lex La-Ray Technical Center,12211,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Lincoln University,10043,NULL,29500,27500,24000
Lindenwood University,NULL,21985,39700,35800,32800
State Technical College of Missouri,9141,NULL,37500,35000,36300
Logan University,NULL,NULL,40500,43100,35400
Metropolitan Community College-Kansas City,7954,NULL,29500,27200,25200
Lutheran School of Nursing,NULL,24585,45400,39300,42700
Maryville University of Saint Louis,NULL,23025,45700,42900,39700
Merrell University of Beauty Arts and Science,NULL,14730,23000,20100,18800
Metro Business College-Cape Girardeau,NULL,11654,20100,17700,18400
Midwest Institute,NULL,19098,21000,20100,17700
Midwestern Baptist Theological Seminary,NULL,15338,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Mineral Area College,8801,NULL,26100,24100,20800
Westwood College-O'Hare Airport,NULL,25762,33300,27300,24000
Missouri Baptist University,NULL,17249,33100,30300,28600
National Academy of Beauty Arts-Farmington,NULL,9190,PrivacySuppressed,PrivacySuppressed,13600
Missouri College,NULL,18732,21600,21200,19700
Missouri School of Barbering & Hairstyling-St. Louis,NULL,9396,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Missouri Southern State University,8314,NULL,33000,28800,26800
Missouri Tech,NULL,23900,32700,31800,28500
Missouri Valley College,NULL,16016,34700,30100,26000
Missouri Western State University,10367,NULL,32600,29700,27300
University of Missouri-Columbia,17238,NULL,46000,41400,35700
University of Missouri-Kansas City,18802,NULL,43700,39700,35300
Missouri University of Science and Technology,14874,NULL,64100,62300,57600
University of Missouri-St Louis,12318,NULL,40000,37600,33500
Moberly Area Community College,7661,NULL,27800,25900,22800
Hillyard Technical Center,15155,NULL,37700,34800,35200
National Academy of Beauty Arts-St Louis,NULL,11055,18000,17600,15700
Nazarene Theological Seminary,NULL,NULL,NULL,NULL,NULL
Neosho Beauty College,NULL,8138,11200,13700,PrivacySuppressed
Truman State University,12148,NULL,43000,38300,31900
Northwest Missouri State University,10570,NULL,38000,34500,29400
Ozark Christian College,NULL,13472,27900,26200,22900
College of the Ozarks,NULL,10720,32500,27800,25100
Park University,NULL,9723,44300,42900,38000
Stevens-The Institute of Business & Arts,NULL,19970,26300,24600,22300
Poplar Bluff Technical Career Center,17620,NULL,27700,PrivacySuppressed,24300
Ranken Technical College,NULL,17399,46200,41700,38400
Research College of Nursing,NULL,NULL,55500,64400,55500
Rockhurst University,NULL,19560,45600,43500,39200
Rolla Technical Institute/Center,11310,NULL,25000,30000,27100
Everest College-Springfield,NULL,20865,24000,20900,18300
Saint Louis University,NULL,30543,53800,48400,42500
Salem College of Hairstyling,NULL,4494,PrivacySuppressed,13800,PrivacySuppressed
Sanford-Brown College-Fenton,NULL,NULL,27400,23100,19500
American College of Hair Design Inc,NULL,11797,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Sikeston Career and Technology Center,12604,NULL,30400,31900,27400
Saint Louis Christian College,NULL,12434,29300,25700,24800
St Louis College of Pharmacy,NULL,NULL,115800,119700,114000
Saint Louis Community College,7112,NULL,27600,24100,21200
Saint Paul School of Theology,NULL,NULL,NULL,NULL,NULL
Southwest Baptist University,NULL,16739,31900,30800,28400
Missouri State University-West Plains,11962,NULL,25600,24900,23400
Saint Luke's College of Health Sciences,NULL,NULL,59500,55400,50400
St Louis College of Health Careers-St Louis,NULL,25021,23400,18000,16600
State Fair Community College,6662,NULL,28900,25700,23300
Stephens College,NULL,23211,33300,30500,26600
Southeast Missouri State University,12050,NULL,35900,32000,27600
Missouri State University-Springfield,14866,NULL,36800,34000,30200
Three Rivers Community College,8036,NULL,25400,23400,19700
North Central Missouri College,7055,NULL,27100,25700,24000
Truman Medical Center School of Nurse Anesthesia,NULL,NULL,NULL,NULL,NULL
Kansas City University of Medicine and Biosciences,NULL,NULL,NULL,NULL,NULL
Washington University in St Louis,NULL,31281,62800,58000,50600
Webster University,NULL,20708,40500,36300,31400
Wentworth Military Academy and College,NULL,17306,26500,22900,22500
Westminster College,NULL,20280,39400,37100,30500
William Jewell College,NULL,21094,42300,40700,35500
William Woods University,NULL,21058,34500,32300,29700
Academy of Cosmetology,NULL,8964,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Blackfeet Community College,NULL,10999,15600,13300,11700
Butte Academy of Beauty Culture,NULL,10034,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Highlands College of Montana Tech,9177,NULL,40600,35900,33200
Crevier's Academy of Cosmetology Arts,NULL,5038,NULL,NULL,NULL
Carroll College,NULL,24020,45500,38200,34400
Dawson Community College,3620,NULL,30600,24100,24300
Chief Dull Knife College,3148,NULL,15800,16100,9700
Montana State University-Billings,13054,NULL,33400,30100,29600
Flathead Valley Community College,7965,NULL,26600,23700,23600
Aaniiih Nakoda College,9002,NULL,20900,14200,17400
Fort Peck Community College,3793,NULL,15300,17000,12600
Great Falls College Montana State University,9676,NULL,27500,27300,23200
University of Great Falls,NULL,19726,30700,29700,25800
Helena College University of Montana,10844,NULL,30000,32800,28600
Little Big Horn College,8274,NULL,13800,14200,10500
Miles Community College,6517,NULL,30100,31700,26000
Modern Beauty School Inc,NULL,7544,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Montana Tech of the University of Montana,11826,NULL,40600,35900,33200
Montana State University,16600,NULL,39600,36700,31000
The University of Montana,12863,NULL,34300,30800,26600
Montana State University-Northern,13636,NULL,33400,32000,31000
Rocky Mountain College,NULL,17905,38900,33400,29800
Salish Kootenai College,NULL,10564,24300,21200,18100
The University of Montana-Western,9474,NULL,30200,27800,26600
La'James International College,NULL,13434,15900,17400,17000
Bellevue University,NULL,13066,52600,48800,44400
Clarkson College,NULL,20554,47000,45200,47500
Bryan College of Health Sciences,NULL,21429,50900,46000,44300
Central Community College,7162,NULL,28700,27600,25000
Chadron State College,11060,NULL,37100,33300,29400
College of Hair Design-Downtown,NULL,7590,18500,18600,17900
Concordia University-Nebraska,NULL,18557,36100,34600,32000
Creighton University,NULL,27854,57100,51900,44100
Doane University-Arts & Sciences,NULL,21869,42900,39000,34500
Grace University,NULL,13803,31900,28200,25600
Hastings College,NULL,18805,40800,37900,33200
CHI Health School of Radiologic Technology,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Joseph's College Cosmetology,NULL,11366,14700,15600,13500
University of Nebraska at Kearney,15100,NULL,38200,36000,31600
Kaplan University-Lincoln Campus,NULL,19338,33400,30900,25800
Nebraska Methodist College of Nursing & Allied Health,NULL,19235,46600,44000,44700
Metropolitan Community College Area,6432,NULL,28500,27000,24700
Mid-Plains Community College,5859,NULL,29700,26600,23700
Midland University,NULL,22298,40500,37000,33300
Nebraska Christian College,NULL,16943,23700,25100,25100
University of Nebraska at Omaha,12380,NULL,41700,38700,33200
Kaplan University-Omaha Campus,NULL,19531,33400,30900,25800
Nebraska Indian Community College,9781,NULL,16400,16400,PrivacySuppressed
University of Nebraska Medical Center,NULL,NULL,64200,61300,56300
Nebraska Wesleyan University,NULL,20153,44600,40200,35200
University of Nebraska-Lincoln,16177,NULL,43500,39600,34500
Northeast Community College,8097,NULL,33200,31100,26300
Peru State College,14017,NULL,34300,32800,30300
College of Saint Mary,NULL,17978,36800,37200,36200
Southeast Community College Area,7503,NULL,34900,32900,29500
Union College,NULL,19584,37900,32600,32300
Vatterott College-Spring Valley,NULL,17149,25400,24400,21900
Nebraska College of Technical Agriculture,11759,NULL,43500,39600,34500
Wayne State College,12043,NULL,36200,31600,29200
Regional West Medical Center School of Radiologic Technology,NULL,NULL,NULL,NULL,NULL
Western Nebraska Community College,6372,NULL,27800,26600,23900
York College,NULL,17311,36600,30400,24500
Academy of Hair Design-Las Vegas,NULL,12193,17200,15800,19700
Career College of Northern Nevada,NULL,21094,23800,25000,24500
College of Southern Nevada,7338,NULL,31700,28400,26700
The Art Institute of Las Vegas,NULL,23383,27400,27200,27700
Everest College-Henderson,NULL,22882,23800,24900,21900
Marinello Schools of Beauty-Las Vegas,NULL,13619,21200,17100,17800
University of Nevada-Las Vegas,11970,NULL,42800,38300,34700
University of Nevada-Reno,14579,NULL,45000,41500,34500
Great Basin College,9777,NULL,30900,28300,28100
Marinello Schools of Beauty-Reno,NULL,15168,NULL,NULL,NULL
Sierra Nevada College,NULL,25798,43700,37300,22500
Truckee Meadows Community College,7148,NULL,32100,30000,27600
Western Nevada College,8107,NULL,28000,28200,27400
Colby-Sawyer College,NULL,20295,38800,37100,34400
Continental Academie of Hair Design-Hudson,NULL,12897,23200,18600,18300
Daniel Webster College,NULL,24055,50500,43300,37000
Dartmouth College,NULL,27143,67800,62500,54600
Empire Beauty School-Laconia,NULL,15082,18300,17300,18700
Empire Beauty School-Somersworth,NULL,10198,19600,18800,16800
Franklin Pierce University,NULL,26461,37000,33800,30900
University of New Hampshire-School of Law,NULL,NULL,PrivacySuppressed,74700,68400
Mount Washington College,NULL,13170,30400,28400,24900
Keene Beauty Academy,NULL,13883,PrivacySuppressed,20600,15900
Northeast Catholic College,NULL,NULL,NULL,NULL,NULL
Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,NULL,19658,21400,21600,17900
New England College,NULL,27791,33000,34200,27600
New England School of Hair Design,NULL,21831,19000,17400,18800
Southern New Hampshire University,NULL,29806,41900,39100,35300
New Hampshire Institute for Therapeutic Arts,NULL,19135,PrivacySuppressed,23400,19900
University of New Hampshire-Main Campus,23516,NULL,47600,43100,37900
Keene State College,19475,NULL,39500,35700,31000
University of New Hampshire at Manchester,17194,NULL,47600,43100,37900
Plymouth State University,20249,NULL,37100,34500,30100
NHTI-Concord's Community College,17162,NULL,38000,34100,29700
White Mountains Community College,14989,NULL,31800,30200,28500
River Valley Community College,18711,NULL,PrivacySuppressed,PrivacySuppressed,35400
Lakes Region Community College,16520,NULL,PrivacySuppressed,PrivacySuppressed,30700
Manchester Community College,14286,NULL,35200,32200,30500
Nashua Community College,13988,NULL,35200,31800,28600
Great Bay Community College,16234,NULL,PrivacySuppressed,PrivacySuppressed,32600
Paul Mitchell the School-Portsmouth,NULL,13517,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Rivier University,NULL,28521,41700,41700,37500
Saint Anselm College,NULL,30262,52800,49300,42300
St Joseph School of Nursing,NULL,21708,41600,40900,35900
Granite State College,14257,NULL,32200,31400,31500
Thomas More College of Liberal Arts,NULL,13384,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Eastwick College-Hackensack,NULL,24653,27300,24100,33500
Atlantic Cape Community College,9343,NULL,28100,25000,21600
Fortis Institute-Wayne,NULL,17690,30400,26800,25200
Bergen Community College,6656,NULL,35300,31900,26600
Berkeley College-Woodland Park,NULL,24855,37000,34800,29900
Beth Medrash Govoha,NULL,NULL,26000,18000,14600
Bloomfield College,NULL,18689,36100,33100,28900
Brookdale Community College,6471,NULL,33000,29200,24100
Rowan College at Burlington County,7643,NULL,34300,32300,26200
Caldwell University,NULL,16416,44400,37400,34100
Camden County College,8962,NULL,31300,28700,24900
Centenary College,NULL,23775,41100,40000,34500
Adult and Continuing Education-BCTS,15517,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Branford Hall Career Institute-Parsippany,NULL,28077,44700,33100,26100
Lincoln Technical Institute-Edison,NULL,22223,31000,24600,20700
American Institute-Clifton,NULL,12593,25700,23400,20200
Empire Beauty School-Ocean,NULL,14228,16800,16100,13000
Cooper Health System Center for Allied Health Education,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
County College of Morris,7219,NULL,38400,33400,29400
Cumberland County College,8789,NULL,31600,26900,24200
Divers Academy International,NULL,30198,49400,42700,37500
Drake College of Business-Elizabeth,NULL,21279,25200,20500,15900
Drew University,NULL,24022,50300,42200,30600
duCret School of Arts,NULL,10743,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Lincoln Technical Institute-South Plainfield,NULL,15337,45500,46400,40500
Essex County College,3717,NULL,30100,26700,22400
Empire Beauty School-Union,NULL,15011,19900,18600,18200
Fairleigh Dickinson University-Metropolitan Campus,NULL,17480,47500,41400,34800
Felician University,NULL,16081,40300,43700,38200
Fairleigh Dickinson University-College at Florham,NULL,23471,47500,41400,34800
Hohokus School of Trade and Technical Sciences,NULL,17278,PrivacySuppressed,PrivacySuppressed,22600
Georgian Court University,NULL,18905,43700,39600,31200
Rowan University,19747,NULL,49100,44400,36700
Rowan College at Gloucester County,7609,NULL,33400,29700,27000
Empire Beauty School-Cherry Hill,NULL,14687,17900,18600,15900
Harris School of Business-Cherry Hill Campus,NULL,23640,28000,22700,19400
Eastwick College-Ramsey,NULL,27158,35100,36600,35800
Holy Name Medical Center School of Nursing,NULL,33261,66900,59300,69000
Hudson County Community College,6530,NULL,27900,23800,20000
New Jersey City University,8001,NULL,41800,36400,31700
Joe Kubert School of Cartoon and Graphic Art,NULL,27431,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Kean University,16951,NULL,45500,39700,33700
Harris School of Business-Voorhees Campus,NULL,21981,20000,20500,18600
Lincoln Technical Institute-Union,NULL,15216,37200,33800,28000
Rizzieri Aveda School for Beauty and Wellness,NULL,16458,20200,19800,23600
Mercer County Community College,3461,NULL,33500,30500,24600
Middlesex County College,5828,NULL,35400,31800,26800
Monmouth University,NULL,26235,49700,42800,37100
Montclair State University,21685,NULL,48300,42900,34600
HackensackUMC Mountainside School of Nursing,NULL,NULL,75000,68900,67100
JFK Muhlenberg Harold B & Dorothy A Snyder Schools-School of Nursing,NULL,21533,67000,58000,57900
Eastwick College-Nutley,NULL,22294,33800,28700,24100
Empire Beauty School-Jersey City,NULL,15026,17800,15100,15000
New Brunswick Theological Seminary,NULL,NULL,NULL,NULL,NULL
Robert Fiance Beauty Schools-West New York,NULL,25219,14400,13500,13100
New Jersey Institute of Technology,18205,NULL,64500,59200,48300
Ocean County College,10098,NULL,32600,29100,25500
P B Cosmetology Education Center,NULL,15888,20500,16600,18000
Parisian Beauty School,NULL,16306,17600,19000,19600
Passaic County Community College,7861,NULL,26600,24400,21700
Pennco Tech-Blackwood,NULL,15505,35900,30500,25000
Princeton Theological Seminary,NULL,NULL,PrivacySuppressed,50000,50400
Princeton University,NULL,7103,77900,62600,52400
Rabbinical College of America,NULL,11296,26500,17400,21400
Ramapo College of New Jersey,20656,NULL,46000,46300,38800
Robert Fiance Beauty Schools-Perth Amboy,NULL,27570,15800,16100,13900
Rider University,NULL,28226,49400,42700,35800
Roman Academy of Beauty Culture,NULL,18612,20300,24700,14500
Rutgers University-Camden,13994,NULL,54500,48900,41000
Rutgers University-New Brunswick,20079,NULL,54500,48900,41000
Rutgers University-Newark,12497,NULL,54500,48900,41000
St Francis Medical Center-School of Radiologic Technology,NULL,NULL,NULL,NULL,NULL
Saint Francis Medical Center School of Nursing,NULL,NULL,NULL,NULL,NULL
Saint Peter's University,NULL,14295,44300,37300,31500
Salem Community College,5492,NULL,26600,25500,26500
Seton Hall University,NULL,26177,53800,49900,44800
Atlantic Beauty & Spa Academy LLC,NULL,22168,PrivacySuppressed,12800,16100
College of Saint Elizabeth,NULL,21662,44900,38400,31300
Raritan Valley Community College,4697,NULL,35900,34700,27600
Stevens Institute of Technology,NULL,28296,83700,75400,62700
Stockton University,20433,NULL,46700,41300,32800
Talmudical Academy-New Jersey,NULL,4060,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Teterboro School of Aeronautics,NULL,11277,46200,54700,47100
Thomas Edison State University,NULL,NULL,46600,48300,46100
The College of New Jersey,22516,NULL,56000,51700,45100
Sanford-Brown Institute-Iselin,NULL,19054,27700,27500,23800
Union County College,4473,NULL,31300,28800,26000
William Paterson University of New Jersey,15142,NULL,43200,39600,32000
Olympian Academy of Cosmetology,NULL,16662,17200,14900,15300
Central New Mexico Community College,4043,NULL,29500,26900,23600
Navajo Technical University,3821,NULL,18800,15300,12900
De Wolff College Hair Styling and Cosmetology,NULL,8724,15900,15900,13500
New Mexico State University-Dona Ana,4832,NULL,32800,29400,24300
Clovis Community College,9821,NULL,25900,22900,20700
Eastern New Mexico University-Main Campus,10090,NULL,29300,26100,23900
Eastern New Mexico University-Roswell Campus,7528,NULL,29300,26100,23900
Institute of American Indian and Alaska Native Culture,9334,NULL,22000,PrivacySuppressed,14200
New Mexico Highlands University,6621,NULL,35200,31200,26300
New Mexico Junior College,6500,NULL,29600,28800,23800
New Mexico Military Institute,5181,NULL,38800,29400,29700
University of New Mexico-Gallup Campus,7500,NULL,34900,31700,27400
New Mexico Institute of Mining and Technology,11451,NULL,54300,44200,39700
University of New Mexico-Los Alamos Campus,6655,NULL,34900,31700,27400
University of New Mexico-Main Campus,10079,NULL,34900,31700,27400
New Mexico State University-Alamogordo,3772,NULL,32800,29400,24300
New Mexico State University-Carlsbad,3581,NULL,32800,29400,24300
New Mexico State University-Grants,3613,NULL,32800,29400,24300
New Mexico State University-Main Campus,9531,NULL,32800,29400,24300
University of New Mexico-Valencia County Campus,6260,NULL,34900,31700,27400
Northern New Mexico College,9268,NULL,27500,25100,21000
San Juan College,5245,NULL,30400,27100,25000
Santa Fe Community College,9602,NULL,31600,28300,26700
Santa Fe University of Art and Design,NULL,27033,35400,32900,27100
University of the Southwest,NULL,14024,40100,34300,27900
Southwestern College,NULL,NULL,NULL,NULL,NULL
Southwestern Indian Polytechnic Institute,9229,NULL,20100,17900,15500
University of New Mexico-Taos Campus,9937,NULL,34900,31700,27400
Mesalands Community College,4956,NULL,21200,22300,20200
Vogue College of Cosmetology-Santa Fe,NULL,12781,NULL,NULL,NULL
Western New Mexico University,11055,NULL,31300,25800,22300
Vaughn College of Aeronautics and Technology,NULL,28078,48700,44000,37100
Adelphi University,NULL,33400,51300,50500,43300
Adirondack Community College,7765,NULL,29700,27200,24200
Globe Institute of Technology,NULL,21459,28900,17500,18500
Bryant & Stratton College-Albany,NULL,11671,22400,21500,20500
Albany College of Pharmacy and Health Sciences,NULL,30901,118800,120600,115200
Albany Law School,NULL,NULL,72400,74700,64300
Albany Medical College,NULL,NULL,214400,112900,75100
Alfred University,NULL,19791,41600,35000,29100
Allen School-Brooklyn,NULL,24799,28800,27100,21300
The Ailey School,NULL,25231,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
American Academy of Dramatic Arts-New York,NULL,40447,27800,25700,22300
American Academy McAllister Institute of Funeral Service,NULL,16804,34200,32900,39700
Joffrey Ballet School,NULL,24277,NULL,NULL,NULL
American Musical and Dramatic Academy,NULL,34714,26800,23600,20300
Apex Technical School,NULL,17411,33200,27700,23200
Arnot Ogden Medical Center,NULL,14761,44900,PrivacySuppressed,PrivacySuppressed
Associated Beth Rivkah Schools,NULL,10951,10100,PrivacySuppressed,15100
Austin's School of Spa Technology,NULL,14094,17200,17700,15300
Bank Street College of Education,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Bard College,NULL,29152,38700,29200,23200
Barnard College,NULL,24476,56800,44200,43000
Berk Trade and Business School,NULL,16743,31600,35000,26600
Berkeley College-New York,NULL,24606,39000,35500,30500
Beth Hatalmud Rabbinical College,NULL,7263,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
