Survey,Year,Region,Rating,Estimation,Percent
General Health Status,2005,"33.192111,-117.343026",Excellent,"98,001",25.70%
General Health Status,2005,"33.192111,-117.343026",Very Good,"129,651",34.00%
General Health Status,2005,"33.192111,-117.343026",Good,"93,425",24.50%
General Health Status,2005,"33.192111,-117.343026",Fair,"48,047",12.60%
General Health Status,2005,"33.192111,-117.343026",Poor,"12,202",3.20%
General Health Status,2007,"33.192111,-117.343026",Excellent,"98,342",24.70%
General Health Status,2007,"33.192111,-117.343026",Very Good,"139,351",35.00%
General Health Status,2007,"33.192111,-117.343026",Good,"103,518",26.00%
General Health Status,2007,"33.192111,-117.343026",Fair,"45,787",11.50%
General Health Status,2007,"33.192111,-117.343026",Poor,"11,546",2.90%
General Health Status,2009,"33.192111,-117.343026",Excellent,"96,685",23.30%
General Health Status,2009,"33.192111,-117.343026",Very Good,"156,855",37.80%
General Health Status,2009,"33.192111,-117.343026",Good,"109,549",26.40%
General Health Status,2009,"33.192111,-117.343026",Fair,"41,911",10.10%
General Health Status,2009,"33.192111,-117.343026",Poor,§,§
General Health Status,2011,"33.192111,-117.343026",Excellent,"107,714",27.70%
General Health Status,2011,"33.192111,-117.343026",Very Good,"126,380",32.50%
General Health Status,2011,"33.192111,-117.343026",Good,"97,993",25.20%
General Health Status,2011,"33.192111,-117.343026",Fair,"47,052",12.10%
General Health Status,2011,"33.192111,-117.343026",Poor,"9,333",2.40%
General Health Status,2005,"32.865030,-117.168261",Excellent,"125,507",26.80%
General Health Status,2005,"32.865030,-117.168261",Very Good,"161,098",34.40%
General Health Status,2005,"32.865030,-117.168261",Good,"126,443",27.00%
General Health Status,2005,"32.865030,-117.168261",Fair,"40,275",8.60%
General Health Status,2005,"32.865030,-117.168261",Poor,"14,986",3.20%
General Health Status,2007,"32.865030,-117.168261",Excellent,"138,978",29.80%
General Health Status,2007,"32.865030,-117.168261",Very Good,"163,696",35.10%
General Health Status,2007,"32.865030,-117.168261",Good,"122,655",26.30%
General Health Status,2007,"32.865030,-117.168261",Fair,"29,381",6.30%
General Health Status,2007,"32.865030,-117.168261",Poor,§,§
General Health Status,2009,"32.865030,-117.168261",Excellent,"114,057",23.30%
General Health Status,2009,"32.865030,-117.168261",Very Good,"199,233",40.70%
General Health Status,2009,"32.865030,-117.168261",Good,"118,953",24.30%
General Health Status,2009,"32.865030,-117.168261",Fair,"46,504",9.50%
General Health Status,2009,"32.865030,-117.168261",Poor,"10,280",2.10%
General Health Status,2011,"32.865030,-117.168261",Excellent,"132,512",26.70%
General Health Status,2011,"32.865030,-117.168261",Very Good,"209,935",42.30%
General Health Status,2011,"32.865030,-117.168261",Good,"105,712",21.30%
General Health Status,2011,"32.865030,-117.168261",Fair,"35,734",7.20%
General Health Status,2011,"32.865030,-117.168261",Poor,"12,904",2.60%
General Health Status,2005,"32.732253, -117.117024",Excellent,"77,461",21.50%
General Health Status,2005,"32.732253, -117.117024",Very Good,"99,078",27.50%
General Health Status,2005,"32.732253, -117.117024",Good,"107,004",29.70%
General Health Status,2005,"32.732253, -117.117024",Fair,"54,403",15.10%
General Health Status,2005,"32.732253, -117.117024",Poor,"22,337",6.20%
General Health Status,2007,"32.732253, -117.117024",Excellent,"69,414",19.00%
General Health Status,2007,"32.732253, -117.117024",Very Good,"111,794",30.60%
General Health Status,2007,"32.732253, -117.117024",Good,"110,698",30.30%
General Health Status,2007,"32.732253, -117.117024",Fair,"60,646",16.60%
General Health Status,2007,"32.732253, -117.117024",Poor,"12,422",3.40%
General Health Status,2009,"32.732253, -117.117024",Excellent,"76,927",20.70%
General Health Status,2009,"32.732253, -117.117024",Very Good,"113,346",30.50%
General Health Status,2009,"32.732253, -117.117024",Good,"108,143",29.10%
General Health Status,2009,"32.732253, -117.117024",Fair,"44,224",11.90%
General Health Status,2009,"32.732253, -117.117024",Poor,§,§
General Health Status,2011,"32.732253, -117.117024",Excellent,"78,621",20.90%
General Health Status,2011,"32.732253, -117.117024",Very Good,"106,459",28.30%
General Health Status,2011,"32.732253, -117.117024",Good,"128,653",34.20%
General Health Status,2011,"32.732253, -117.117024",Fair,"48,151",12.80%
General Health Status,2011,"32.732253, -117.117024",Poor,§,§
General Health Status,2005,"32.597635,-117.037161",Excellent,"68,211",20.80%
