Pacific Beach,204
Kearny Mesa,161
La Jolla,153
Mira Mesa,138
Point Loma,132
Clairemont,92
Clairemont Mesa East,91
San Carlos,73
Downtown,67
North Park,66
Hillcrest,56
Tierrasanta,55
University City,53
Bay Park,52
Bay Ho,49
Rancho Bernardo,48
Serra Mesa,46
Normal Heights,45
Grantville,45
Linda Vista,43
Carmel Valley,41
Allied Gardens,37
MIddletown,35
Clairemont Mesa West,34
Mission Valley East,30
Sorrento Valley,29
Rancho Peñasquitos,28
Bankers Hill,24
Mission Valley,21
Mission Bay,20
Miramar,20
Golden Hill,20
Carmel Mountain Ranch,18
Del Cerro,16
Midway District,15
Core-Columbia,15
Encanto,15
Old Town,14
Balboa Park,14
Mission Beach,13
Del Mar Heights,11
Scripps Ranch,11
College West,11
Otay Mesa West,11
University Heights,10
South Park,10
East Village,10
Miramar Ranch North,9
El Cerrito,9
Mission Hills,8
Morena,8
Birdland,8
Egger Highlands,8
Cortez Hill,8
Fairmont Village,7
San Pasqual Valley,7
College East,7
City Heights,7
Mount Hope,7
Jamacha-Lomita,7
Talmadge,7
Bay Terraces,7
Mountain View,7
North Clairemont,7
Rolando,6
Skyline,6
Ocean Beach,6
Logan Heights,6
Ridgeview-Webster,6
Barrio Logan,6
San Ysidro,5
Sabre Springs,5
Loma Portal,5
Paradise Hills,5
Fairmont Park,5
Valencia Park,5
Shelltown,4
Tijuana River Valley,4
Ocean View Hills,4
Swan Canyon,4
Chollas Creek,4
Kensington,4
North City,4
Teralta East,4
Southcrest,3
Point Loma Heights,3
Lincoln Park,3
Torrey Highlands,3
Grant Hill,3
Redwood Village-Rolando Park,3
Nestor,3
Colina del Sol,2
Stockton,2
Mission Valley West,2
Cortez,2
San Diego,2
Rancho Penasquitos,2
San Pasqual,2
Chollas View,2
Fox Canyon,2
La Jolla Shores,2
Marina,2
Jamacha Lomita,1
Rancho Encantada,1
Park Place Condominiums,1
Little Italy,1
Soledad South,1
La Jolla Mesa,1
Gaslamp Quarter,1
Montsoué,1
4S Ranch,1
La Playa,1
La Jolla Alta,1
Loma Heights,1
La Jolla Heights,1
West Dunlop Street,1
Oak Park,1
Middletown,1
Fairmount Village,1
Sherman Heights,1
Territorio #3,1
Torrey Preserve,1
Hidden Valley,1
Lake Murray,1
