,zone,area,sub_area,pole,config_id,config_name,longitude,latitude,nearest_pothole_dist
28,City,Barrio Logan,1700 NATIONAL AVE,NL-1703,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.147903,32.702524,410.5034407793668
29,City,Barrio Logan,1700 NATIONAL AVE,NL-1711,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.147627,32.702333,439.9448545798213
30,City,Barrio Logan,1700 NATIONAL AVE,NL-1713,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.14738200000001,32.702164,466.4750073926136
31,City,Barrio Logan,1700 NATIONAL AVE,NL-1749,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.14713700000001,32.701994,461.53577568254366
32,City,Barrio Logan,1700 NATIONAL AVE,NL-1751,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.146234,32.701368,414.90528998944353
33,City,Barrio Logan,2900 NATIONAL AVE,NL-2928,8999,1 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.13004199999999,32.696027,343.5255481812374
34,City,Midtown,2700 KETTNER BLVD,KT-2700,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.172983,32.732113,133.33821274375182
35,City,Midtown,2700 KETTNER BLVD,KT-2702,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.173028,32.732215999999994,124.95161044059384
36,City,Midtown,2700 KETTNER BLVD,KT-2704,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.173073,32.73232,117.13733269081793
37,City,Midtown,2700 KETTNER BLVD,KT-2706,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.173124,32.732438,109.26567791570254
38,City,Midtown,2700 KETTNER BLVD,KT-2708,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.17316799999999,32.732538,103.64775141860895
39,City,Midtown,2700 KETTNER BLVD,KT-2710,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.17321799999999,32.732636,99.70289880920426
40,City,Midtown,2800 KETTNER BLVD,KT-2810,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.173579,32.733112,111.14270082296058
41,City,Midtown,2900 PACIFIC HIGHWAY,P-2908,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.175529,32.732735999999996,275.0608241096202
42,City,Midtown,2900 PACIFIC HIGHWAY,P-2910,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.175601,32.732818,270.54370222198503
43,City,Midtown,2900 PACIFIC HIGHWAY,P-2912,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.17569099999999,32.73292,265.51466121086276
44,City,Midtown,2900 PACIFIC HIGHWAY,P-2914,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.17576299999999,32.733003000000004,261.8438620320409
45,City,Midtown,2900 PACIFIC HIGHWAY,P-2916,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.175854,32.733105,257.7792931643298
46,City,Midtown,2900 PACIFIC HIGHWAY,P-2918,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.175926,32.733187,251.58638384678977
47,City,Midtown,2900 PACIFIC HIGHWAY,P-2920,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.17601599999999,32.733290000000004,244.31191816368627
48,City,Midtown,2900 PACIFIC HIGHWAY,P-2922,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.176088,32.733371999999996,238.98010786584587
49,City,Midtown,2900 PACIFIC HIGHWAY,P-2924,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.17617800000001,32.733474,232.96632014053733
50,City,Midtown,2900 PACIFIC HIGHWAY,P-2926,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.17625,32.733556,228.63093045664152
51,City,Mission Beach,800 WEST MISSION BAY DR,WMB-826,9116,30 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.25069099999999,32.772103,46.75201429963268
52,City,Mission Beach,800 WEST MISSION BAY DR,WMB-828,9116,30 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.250206,32.772115,91.90772848619697
53,City,Mission Beach,800 WEST MISSION BAY DR,WMB-838,9116,30 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.249852,32.772123,85.02720739644028
54,City,Mission Beach,800 WEST MISSION BAY DR,WMB-840,9116,30 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.249702,32.772126,71.0418243320612
55,City,Mission Hills,3800 PACIFIC HIGHWAY,P-3801,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.18608,32.74137,117.6698054788637
56,City,Mission Hills,3800 PACIFIC HIGHWAY,P-3803,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.186292,32.741456,95.675027010045
57,City,Mission Hills,3800 PACIFIC HIGHWAY,P-3805,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.186504,32.741543,73.66267974399193
58,City,Mission Hills,3800 PACIFIC HIGHWAY,P-3811,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.186869,32.741690000000006,36.04105689434963
59,City,Mission Hills,3800 PACIFIC HIGHWAY,P-3813,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.186921,32.74171,30.758844442008204
60,City,Mission Hills,3800 PACIFIC HIGHWAY,P-3815,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.18697399999999,32.74173,25.414437300210587
61,City,Mission Hills,3800 PACIFIC HIGHWAY,P-3821,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.187026,32.741751,20.195369966467062
62,City,Mission Hills,3400 SUTHERLAND ST,SU-3409,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.18625300000001,32.741676,93.07878108354804
63,City,Mission Hills,3400 SUTHERLAND ST,SU-3411,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.186204,32.741749,97.02343918053558
64,City,Mission Hills,3400 SUTHERLAND ST,SU-3415,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.186159,32.741817,101.2699703258827
65,City,Point Loma,2900 AVENIDA DE PORTUGAL,ADN-2912,9116,30 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.23090400000001,32.72167,55.69106663081987
66,City,Point Loma,2900 AVENIDA DE PORTUGAL,ADN-2914,9116,30 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.23091299999999,32.721575,50.48874797114111
67,City,Point Loma,2700 SHELTER ISLAND DR,S-2707,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.22856499999999,32.721025,179.61182197395925
68,City,Point Loma,2700 SHELTER ISLAND DR,S-2712,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.22853,32.721191999999995,180.04363627238286
69,City,Point Loma,2700 SHELTER ISLAND DR,S-2713,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.228706,32.721109999999996,164.88911061224988
70,City,Point Loma,2700 SHELTER ISLAND DR,S-2714,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.22868100000001,32.721284000000004,165.17608000401705
71,City,Point Loma,2700 SHELTER ISLAND DR,S-2717,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.228847,32.721195,150.4765114512101
72,City,Point Loma,2700 SHELTER ISLAND DR,S-2720,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.22882299999999,32.721369,151.69399880134475
73,Downtown,Core - Columbia,1000 FIRST AVE,1-1004,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16392900000001,32.715903999999995,45.48091802507204
74,Downtown,Core - Columbia,1000 FIRST AVE,1-1006,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16393000000001,32.716037,58.58332460454378
75,Downtown,Core - Columbia,1000 FIRST AVE,1-1008,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.163931,32.716169,72.21608996559267
76,Downtown,Core - Columbia,1000 FIRST AVE,1-1020,9115,15 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.161278,32.717890000000004,61.85411727273169
77,Downtown,Core - Columbia,1300 FIRST AVE,1-1310,12466,2 Hour Max $1.25 HR 8am-4pm Mon-Fri 8am-6pm Sat,-117.163951,32.719024,130.05873298754778
78,Downtown,Core - Columbia,1300 FIRST AVE,1-1312,12466,2 Hour Max $1.25 HR 8am-4pm Mon-Fri 8am-6pm Sat,-117.163952,32.719161,120.15920819766194
79,Downtown,Core - Columbia,1300 FIRST AVE,1-1313,12466,2 Hour Max $1.25 HR 8am-4pm Mon-Fri 8am-6pm Sat,-117.16377,32.719297999999995,97.3700263400538
80,Downtown,Core - Columbia,1300 FIRST AVE,1-1314,12466,2 Hour Max $1.25 HR 8am-4pm Mon-Fri 8am-6pm Sat,-117.163953,32.719453,103.33518048440791
81,Downtown,Core - Columbia,1300 FIRST AVE,1-1315,12466,2 Hour Max $1.25 HR 8am-4pm Mon-Fri 8am-6pm Sat,-117.163772,32.719571,82.66473371023977
82,Downtown,Core - Columbia,1300 FIRST AVE,1-1317,12466,2 Hour Max $1.25 HR 8am-4pm Mon-Fri 8am-6pm Sat,-117.163772,32.719707,78.63652261263772
83,Downtown,Core - Columbia,1300 SECOND AVE,2-1303,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.162852,32.718951000000004,83.11067276035533
84,Downtown,Core - Columbia,1300 SECOND AVE,2-1305,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.162853,32.719029,85.14852361110877
85,Downtown,Core - Columbia,1300 SECOND AVE,2-1307,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.162853,32.719088,83.09098143161873
86,Downtown,Core - Columbia,1300 SECOND AVE,2-1309,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16285400000001,32.719165999999994,74.48685641412806
87,Downtown,Core - Columbia,1300 SECOND AVE,2-1311,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16285400000001,32.719224,68.1048098211669
88,Downtown,Core - Columbia,1300 SECOND AVE,2-1313,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.15411,32.714712,124.69794881426408
89,Downtown,Core - Columbia,1300 SECOND AVE,2-1315,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.162856,32.71938,50.967188650309005
90,Downtown,Core - Columbia,1300 SECOND AVE,2-1316,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16303799999999,32.719457,42.600309101444566
91,Downtown,Core - Columbia,1300 SECOND AVE,2-1317,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.162857,32.719516,36.164853149737695
92,Downtown,Core - Columbia,1300 SECOND AVE,2-1318,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16303899999998,32.719592999999996,28.02863559098887
93,Downtown,Core - Columbia,1300 SECOND AVE,2-1320,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16304,32.719652,21.941735785644685
94,Downtown,Core - Columbia,1300 SECOND AVE,2-1322,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16304,32.71973,14.438795412074366
95,Downtown,Core - Columbia,1300 SECOND AVE,2-1323,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16285900000001,32.719789,9.544984910792195
96,Downtown,Core - Columbia,1000 THIRD AVE,3-1001,9116,30 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.161914,32.715859,67.80896677877891
97,Downtown,Core - Columbia,1000 THIRD AVE,3-1003,9116,30 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.16191699999999,32.715975,70.74112273914835
98,Downtown,Core - Columbia,1000 THIRD AVE,3-1005,9116,30 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.16192,32.716071,74.72817433800178
99,Downtown,Core - Columbia,1000 THIRD AVE,3-1007,9116,30 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.161924,32.716187,81.13510599474891
100,Downtown,Core - Columbia,1000 THIRD AVE,3-1014,9116,30 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.16211000000001,32.716299,76.88759288377118
101,Downtown,Core - Columbia,1000 THIRD AVE,3-1016,9116,30 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.16211299999999,32.716396,81.91909975589249
102,Downtown,Core - Columbia,1000 THIRD AVE,3-1018,9116,30 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.162117,32.716512,73.73700988559786
103,Downtown,Core - Columbia,1000 THIRD AVE,3-1020,9116,30 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.16212,32.716609000000005,68.04561438770635
104,Downtown,Core - Columbia,1100 THIRD AVE,3-1116,9116,30 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.162126,32.717139,66.5117033666202
105,Downtown,Core - Columbia,1100 THIRD AVE,3-1118,9116,30 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.162127,32.717447,86.60865115023745
106,Downtown,Core - Columbia,1200 THIRD AVE,3-1203,9293,15 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.161947,32.717954,95.95220402326687
107,Downtown,Core - Columbia,1200 THIRD AVE,3-1205,9293,15 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.161947,32.718069,83.21098836936159
108,Downtown,Core - Columbia,1200 THIRD AVE,3-1207,9138,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.161947,32.718164,72.68752891609856
109,Downtown,Core - Columbia,1200 THIRD AVE,3-1209,9138,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.161947,32.718278999999995,59.95227129304878
110,Downtown,Core - Columbia,1200 THIRD AVE,3-1218,9115,15 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.16212900000001,32.718393,49.288477866772055
111,Downtown,Core - Columbia,1200 THIRD AVE,3-1220,9293,15 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.161278,32.717890000000004,61.85411727273169
112,Downtown,Core - Columbia,1200 THIRD AVE,3-1221,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.161948,32.718489,36.71255443124352
113,Downtown,Core - Columbia,1200 THIRD AVE,3-1223,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.161948,32.718584,26.227387537379943
114,Downtown,Core - Columbia,1300 THIRD AVE,3-1300,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16213,32.718957,20.8311422284101
115,Downtown,Core - Columbia,1300 THIRD AVE,3-1301,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16194899999999,32.719015999999996,22.002623811427043
116,Downtown,Core - Columbia,1300 THIRD AVE,3-1302,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.162131,32.719074,31.64255697759138
117,Downtown,Core - Columbia,1300 THIRD AVE,3-1303,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16194899999999,32.719132,34.79551648456774
118,Downtown,Core - Columbia,1300 THIRD AVE,3-1304,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.162131,32.71921,45.61181459868925
119,Downtown,Core - Columbia,1300 THIRD AVE,3-1305,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16195,32.719249,47.729400339479014
120,Downtown,Core - Columbia,1300 THIRD AVE,3-1306,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.162132,32.719326,57.98990702655146
121,Downtown,Core - Columbia,1300 THIRD AVE,3-1308,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.162132,32.719384000000005,53.5449718179991
122,Downtown,Core - Columbia,1300 THIRD AVE,3-1310,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.162132,32.719443,47.11641515618167
123,Downtown,Core - Columbia,1300 THIRD AVE,3-1312,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16213300000001,32.719501,40.85281367320172
124,Downtown,Core - Columbia,1300 THIRD AVE,3-1313,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.161951,32.719559999999994,34.111960844866275
125,Downtown,Core - Columbia,1300 THIRD AVE,3-1314,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16213300000001,32.719637,26.402411746277952
126,Downtown,Core - Columbia,1300 THIRD AVE,3-1316,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16213300000001,32.719695,20.515615957763384
127,Downtown,Core - Columbia,1300 THIRD AVE,3-1320,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16213400000001,32.719753999999995,15.05065858178729
128,Downtown,Core - Columbia,1300 THIRD AVE,3-1322,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16213400000001,32.719812,10.821774419024376
129,Downtown,Core - Columbia,1000 FOURTH AVE,4-1011,8999,1 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.161004,32.715989,28.81215556667613
130,Downtown,Core - Columbia,1000 FOURTH AVE,4-1013,8999,1 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.161006,32.716244,56.56467265224674
131,Downtown,Core - Columbia,1000 FOURTH AVE,4-1019,14435,"1 Hour Max $1.25 HR 8am-5pm Mon-Sat, No Parking 5pm-2am, 3 Min Passenger Loading",-117.161079,32.716507,85.24896604328246
132,Downtown,Core - Columbia,1000 FOURTH AVE,4-1021,14435,"1 Hour Max $1.25 HR 8am-5pm Mon-Sat, No Parking 5pm-2am, 3 Min Passenger Loading",-117.161111,32.716388,72.10106219183906
133,Downtown,Core - Columbia,1200 FOURTH AVE,4-1204,8999,1 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.161204,32.71798,57.44384203913107
134,Downtown,Core - Columbia,1200 FOURTH AVE,4-1206,8999,1 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16120500000001,32.718075,61.775218810764926
135,Downtown,Core - Columbia,1200 FOURTH AVE,4-1208,8999,1 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.161206,32.71819,68.81804546504057
136,Downtown,Core - Columbia,1200 FOURTH AVE,4-1210,8999,1 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.161207,32.718284999999995,61.92354565977024
137,Downtown,Core - Columbia,1200 FOURTH AVE,4-1216,8999,1 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.161208,32.718399,49.51790792471518
138,Downtown,Core - Columbia,1200 FOURTH AVE,4-1218,8999,1 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16120900000001,32.718495000000004,39.190222828269334
139,Downtown,Core - Columbia,1200 FOURTH AVE,4-1222,9115,15 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.16121100000001,32.718609,27.271899973626617
140,Downtown,Core - Columbia,1200 FOURTH AVE,4-1224,9115,15 Min Max $1.25 HR 8am-6pm Mon-Sat,-117.161212,32.718705,17.976342897029316
141,Downtown,Core - Columbia,1300 FOURTH AVE,4-1300,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16121399999999,32.719002,21.31109867955364
142,Downtown,Core - Columbia,1300 FOURTH AVE,4-1302,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16121499999998,32.719099,31.101933028879188
143,Downtown,Core - Columbia,1300 FOURTH AVE,4-1304,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.161216,32.719196000000004,41.3735193524797
144,Downtown,Core - Columbia,1300 FOURTH AVE,4-1306,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.161216,32.719293,51.82098588024123
145,Downtown,Core - Columbia,1300 FOURTH AVE,4-1310,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.160973,32.719511,41.835802756881
146,Downtown,Core - Columbia,1300 FOURTH AVE,4-1312,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.161027,32.719414,50.47148666470667
147,Downtown,Core - Columbia,1300 FOURTH AVE,4-1313,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16103500000001,32.719390999999995,52.71660483735342
148,Downtown,Core - Columbia,1300 FOURTH AVE,4-1314,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.161084,32.719414,49.19740328161663
149,Downtown,Core - Columbia,1300 FOURTH AVE,4-1315,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16103600000001,32.719488,42.40220934056553
150,Downtown,Core - Columbia,1300 FOURTH AVE,4-1316,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.161084,32.719414,49.19740328161663
151,Downtown,Core - Columbia,1300 FOURTH AVE,4-1317,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16103600000001,32.719584000000005,32.51477159847423
152,Downtown,Core - Columbia,1300 FOURTH AVE,4-1319,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16103700000001,32.719681,22.29310402156323
153,Downtown,Core - Columbia,1300 FOURTH AVE,4-1321,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16103799999999,32.719778000000005,11.619741591571259
154,Downtown,Core - Columbia,1000 FIFTH AVE,5-1002,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.15999099999999,32.716231,47.81452913898375
155,Downtown,Core - Columbia,1000 FIFTH AVE,5-1004,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.15999,32.716232,47.78769130037696
156,Downtown,Core - Columbia,1000 FIFTH AVE,5-1006,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.159989,32.716229999999996,47.59681474044054
157,Downtown,Core - Columbia,1300 FIFTH AVE,5-1302,8999,1 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.160288,32.719007,70.49217584718292
158,Downtown,Core - Columbia,1300 FIFTH AVE,5-1311,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16010700000001,32.719103999999994,86.15111672945591
159,Downtown,Core - Columbia,1300 FIFTH AVE,5-1313,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16010800000001,32.7192,95.98731956988155
160,Downtown,Core - Columbia,1300 FIFTH AVE,5-1314,8999,1 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16029099999999,32.719295,91.22842789572432
161,Downtown,Core - Columbia,1300 FIFTH AVE,5-1316,8999,1 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.160292,32.719390999999995,90.17548592802868
162,Downtown,Core - Columbia,1300 FIFTH AVE,5-1317,8999,1 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.16011100000001,32.719488,88.51773989806478
